,High,Low,Open,Close,Volume,Adj Close,NASDAQ Close,S&P500 Close,sentiment_neutral,sentiment_positive
2021-11-01,149.6999969482422,147.8000030517578,148.99000549316406,148.9600067138672,74588300.0,148.742919921875,15595.919921875,4613.669921875,0,0
2021-11-02,151.57000732421875,148.64999389648438,148.66000366210938,150.02000427246094,69122000.0,149.80137634277344,15649.599609375,4630.64990234375,0,0
2021-11-03,151.97000122070312,149.82000732421875,150.38999938964844,151.49000549316406,54511500.0,151.2692413330078,15811.580078125,4660.56982421875,0,0
2021-11-04,152.42999267578125,150.63999938964844,151.5800018310547,150.9600067138672,60394600.0,150.74000549316406,15940.3095703125,4680.06005859375,0,0
2021-11-05,152.1999969482422,150.05999755859375,151.88999938964844,151.27999877929688,65414600.0,151.27999877929688,15971.58984375,4697.52978515625,1,0
2021-11-08,151.57000732421875,150.16000366210938,151.41000366210938,150.44000244140625,55020900.0,150.44000244140625,15982.3603515625,4701.7001953125,1,0
2021-11-09,151.42999267578125,150.05999755859375,150.1999969482422,150.80999755859375,56787900.0,150.80999755859375,15886.5400390625,4685.25,0,0
2021-11-10,150.1300048828125,147.85000610351562,150.02000427246094,147.9199981689453,65187100.0,147.9199981689453,15622.7099609375,4646.7099609375,0,0
2021-11-11,149.42999267578125,147.67999267578125,148.9600067138672,147.8699951171875,41000000.0,147.8699951171875,15704.2802734375,4649.27001953125,1,0
2021-11-12,150.39999389648438,147.47999572753906,148.42999267578125,149.99000549316406,63632600.0,149.99000549316406,15860.9599609375,4682.85009765625,0,0
2021-11-15,151.8800048828125,149.42999267578125,150.3699951171875,150.0,59222800.0,150.0,15853.849609375,4682.7998046875,0,1
2021-11-16,151.49000549316406,149.33999633789062,149.94000244140625,151.0,59256200.0,151.0,15973.8603515625,4700.89990234375,0,0
2021-11-17,155.0,150.99000549316406,151.0,153.49000549316406,88807000.0,153.49000549316406,15921.5703125,4688.669921875,0,0
2021-11-18,158.6699981689453,153.0500030517578,153.7100067138672,157.8699951171875,137827700.0,157.8699951171875,15993.7099609375,4704.5400390625,0,1
2021-11-19,161.02000427246094,156.52999877929688,157.64999389648438,160.5500030517578,117305600.0,160.5500030517578,16057.4404296875,4697.9599609375,0,0
